x,y,Ex,Ey,Ex_exact,Ey_exact
0.291667,0.00520833,0.00640783,0.0263585,0.0129806,0.0129806
0.286458,0.0104167,0.0324449,0.0129672,0.0256284,0.0256284
0.307292,0.00520833,0.00664966,0.0272974,0.0134537,0.0134537
0.302083,0.0104167,0.0336264,0.0134605,0.0265956,0.0265956
0.322917,0.00520833,0.00687546,0.0281702,0.0138944,0.0138944
0.317708,0.0104167,0.0347269,0.013921,0.0274987,0.0274987
0.338542,0.00520833,0.00708471,0.028975,0.0143016,0.0143016
0.333333,0.0104167,0.0357438,0.0143477,0.0283356,0.0283356
0.354167,0.00520833,0.00727688,0.0297097,0.0146744,0.0146744
0.348958,0.0104167,0.0366746,0.0147396,0.0291042,0.0291042
0.369792,0.00520833,0.00745153,0.0303727,0.0150118,0.0150118
0.364583,0.0104167,0.0375171,0.0150958,0.0298026,0.0298026
0.385417,0.00520833,0.00760823,0.0309624,0.015313,0.015313
0.380208,0.0104167,0.0382692,0.0154154,0.0304293,0.0304293
0.401042,0.00520833,0.00774659,0.0314773,0.0155774,0.0155774
0.395833,0.0104167,0.0389291,0.0156978,0.0309827,0.0309827
0.416667,0.00520833,0.0078663,0.0319163,0.0158042,0.0158042
0.411458,0.0104167,0.0394953,0.0159421,0.0314614,0.0314614
0.432292,0.00520833,0.00796705,0.0322782,0.015993,0.015993
0.427083,0.0104167,0.0399664,0.016148,0.0318644,0.0318644
0.447917,0.00520833,0.00804862,0.0325623,0.0161432,0.0161432
0.442708,0.0104167,0.0403412,0.0163148,0.0321905,0.0321905
0.463542,0.00520833,0.00811079,0.032768,0.0162545,0.0162545
0.458333,0.0104167,0.0406188,0.0164422,0.0324392,0.0324392
0.479167,0.00520833,0.00815342,0.0328946,0.0163267,0.0163267
0.473958,0.0104167,0.0407986,0.01653,0.0326096,0.0326096
0.494792,0.00520833,0.00817641,0.032942,0.0163595,0.0163595
0.489583,0.0104167,0.0408802,0.0165779,0.0327016,0.0327016
0.510417,0.00520833,0.00817971,0.03291,0.016353,0.016353
0.505208,0.0104167,0.0408632,0.0165858,0.0327147,0.0327147
0.526042,0.00520833,0.0081633,0.0327987,0.016307,0.016307
0.520833,0.0104167,0.0407479,0.0165538,0.032649,0.032649
0.541667,0.00520833,0.00812722,0.0326085,0.0162218,0.0162218
0.536458,0.0104167,0.0405344,0.016482,0.0325047,0.0325047
0.557292,0.00520833,0.00807156,0.0323398,0.0160974,0.0160974
0.552083,0.0104167,0.0402233,0.0163704,0.0322821,0.0322821
0.572917,0.00520833,0.00799646,0.0319932,0.0159343,0.0159343
0.567708,0.0104167,0.0398153,0.0162195,0.0319817,0.0319817
0.588542,0.00520833,0.0079021,0.0315697,0.0157328,0.0157328
0.583333,0.0104167,0.0393114,0.0160296,0.0316042,0.0316042
0.604167,0.00520833,0.0077887,0.0310703,0.0154934,0.0154934
0.598958,0.0104167,0.0387129,0.0158012,0.0311506,0.0311506
0.619792,0.00520833,0.00765654,0.0304961,0.0152167,0.0152167
0.614583,0.0104167,0.0380211,0.0155348,0.030622,0.030622
0.635417,0.00520833,0.00750593,0.0298487,0.0149033,0.0149033
0.630208,0.0104167,0.0372377,0.0152312,0.0300196,0.0300196
0.651042,0.00520833,0.00733724,0.0291295,0.014554,0.014554
0.645833,0.0104167,0.0363646,0.014891,0.0293449,0.0293449
0.666667,0.00520833,0.00715087,0.0283403,0.0141697,0.0141697
0.661458,0.0104167,0.035404,0.0145152,0.0285994,0.0285994
0.682292,0.00520833,0.00694728,0.0274832,0.0137512,0.0137512
0.677083,0.0104167,0.0343581,0.0141046,0.0277851,0.0277851
0.697917,0.00520833,0.00672695,0.0265601,0.0132996,0.0132996
0.692708,0.0104167,0.0332294,0.0136602,0.0269039,0.0269039
0.713542,0.00520833,0.00649042,0.0255732,0.0128159,0.0128159
0.708333,0.0104167,0.0320207,0.0131832,0.0259578,0.0259578
0.729167,0.00520833,0.00623825,0.0245251,0.0123014,0.0123014
0.723958,0.0104167,0.0307349,0.0126747,0.0249492,0.0249492
0.744792,0.00520833,0.00597105,0.0234182,0.0117572,0.0117572
0.739583,0.0104167,0.0293751,0.012136,0.0238805,0.0238805
0.760417,0.00520833,0.00568947,0.0222553,0.0111848,0.0111848
0.755208,0.0104167,0.0279446,0.0115684,0.0227542,0.0227542
0.776042,0.00520833,0.00539418,0.0210391,0.0105853,0.0105853
0.770833,0.0104167,0.0264467,0.0109733,0.0215732,0.0215732
0.791667,0.00520833,0.0050859,0.0197727,0.00996039,0.00996039
0.786458,0.0104167,0.0248852,0.0103521,0.0203402,0.0203402
0.807292,0.00520833,0.00476536,0.0184591,0.00931146,0.00931146
0.802083,0.0104167,0.0232638,0.00970644,0.0190581,0.0190581
0.822917,0.00520833,0.00443335,0.0171015,0.0086401,0.0086401
0.817708,0.0104167,0.0215863,0.0090378,0.0177302,0.0177302
0.838542,0.00520833,0.00409065,0.0157032,0.00794793,0.00794793
0.833333,0.0104167,0.0198569,0.00834786,0.0163595,0.0163595
0.854167,0.00520833,0.00373811,0.0142675,0.00723661,0.00723661
0.848958,0.0104167,0.0180796,0.00763831,0.0149495,0.0149495
0.869792,0.00520833,0.00337655,0.0127981,0.00650785,0.00650785
0.864583,0.0104167,0.0162589,0.00691089,0.0135034,0.0135034
0.885417,0.00520833,0.00300687,0.0112985,0.00576342,0.00576342
0.880208,0.0104167,0.014399,0.00616739,0.0120248,0.0120248
0.901042,0.00520833,0.00262994,0.00977225,0.0050051,0.0050051
0.895833,0.0104167,0.0125045,0.00540963,0.0105172,0.0105172
0.916667,0.00520833,0.00224667,0.00822316,0.00423473,0.00423473
0.911458,0.0104167,0.0105799,0.00463947,0.00898429,0.00898429
0.932292,0.00520833,0.001858,0.00665496,0.00345415,0.00345415
0.927083,0.0104167,0.00862982,0.00385881,0.00742973,0.00742973
0.947917,0.00520833,0.00146484,0.00507148,0.00266525,0.00266525
0.942708,0.0104167,0.00665901,0.00306956,0.00585727,0.00585727
0.963542,0.00520833,0.00106816,0.00347657,0.00186993,0.00186993
0.958333,0.0104167,0.00467221,0.00227366,0.0042707,0.0042707
0.979167,0.00520833,0.000668912,0.00187413,0.00107011,0.00107011
0.973958,0.0104167,0.00267419,0.00147308,0.00267384,0.00267384
0.994792,0.00520833,0.000268049,0.000268049,0.000267706,0.000267706
0.989583,0.0104167,0.000669788,0.000669788,0.00107054,0.00107054
0.0104167,0.0208333,0.000957502,0.00336176,0.00213993,0.00213993
0.00520833,0.0260417,0.00298153,0.000535037,0.0013371,0.0013371
0.0260417,0.0208333,0.00376326,0.00738306,0.00534481,0.00534481
0.0208333,0.0260417,0.00738306,0.00376326,0.00534481,0.00534481
0.0416667,0.0208333,0.00656001,0.0113857,0.00853682,0.00853682
0.0364583,0.0260417,0.0117669,0.00698155,0.00933965,0.00933965
0.0572917,0.0208333,0.009341,0.0153602,0.0117083,0.0117083
0.0520833,0.0260417,0.0161225,0.0101822,0.013312,0.013312
0.0729167,0.0208333,0.0120995,0.0192969,0.0148515,0.0148515
0.0677083,0.0260417,0.0204393,0.0133575,0.0172523,0.0172523
0.0885417,0.0208333,0.014829,0.0231864,0.017959,0.017959
0.0833333,0.0260417,0.024707,0.0164999,0.021151,0.021151
0.104167,0.0208333,0.0175227,0.0270194,0.0210231,0.0210231
0.0989583,0.0260417,0.0289153,0.0196018,0.0249987,0.0249987
0.119792,0.0208333,0.0201743,0.0307867,0.0240367,0.0240367
0.114583,0.0260417,0.0330539,0.0226558,0.0287863,0.0287863
0.135417,0.0208333,0.0227773,0.0344792,0.0269923,0.0269923
0.130208,0.0260417,0.0371131,0.0256546,0.0325044,0.0325044
0.151042,0.0208333,0.0253255,0.0380881,0.0298829,0.0298829
0.145833,0.0260417,0.0410829,0.028591,0.0361443,0.0361443
0.166667,0.0208333,0.0278127,0.0416046,0.0327016,0.0327016
0.161458,0.0260417,0.0449537,0.031458,0.0396971,0.0396971
0.182292,0.0208333,0.0302329,0.0450205,0.0354414,0.0354414
0.177083,0.0260417,0.0487164,0.0342487,0.0431543,0.0431543
0.197917,0.0208333,0.0325804,0.0483274,0.0380959,0.0380959
0.192708,0.0260417,0.0523618,0.0369563,0.0465075,0.0465075
0.213542,0.0208333,0.0348494,0.0515175,0.0406585,0.0406585
0.208333,0.0260417,0.0558811,0.0395744,0.0497486,0.0497486
0.229167,0.0208333,0.0370344,0.054583,0.0431233,0.0431233
0.223958,0.0260417,0.0592658,0.0420968,0.05287,0.05287
0.244792,0.0208333,0.0391303,0.0575167,0.0454841,0.0454841
0.239583,0.0260417,0.0625078,0.0445173,0.0558639,0.0558639
0.260417,0.0208333,0.041132,0.0603114,0.0477354,0.0477354
0.255208,0.0260417,0.0655993,0.0468302,0.0587233,0.0587233
0.276042,0.0208333,0.0430345,0.0629605,0.0498717,0.0498717
0.270833,0.0260417,0.0685328,0.0490299,0.0614412,0.0614412
0.291667,0.0208333,0.0448335,0.0654576,0.0518878,0.0518878
0.286458,0.0260417,0.0713012,0.0511112,0.064011,0.064011
0.307292,0.0208333,0.0465244,0.0677968,0.0537789,0.0537789
0.302083,0.0260417,0.073898,0.053069,0.0664267,0.0664267
0.322917,0.0208333,0.0481033,0.0699723,0.0555405,0.0555405
0.317708,0.0260417,0.0763168,0.0548987,0.0686823,0.0686823
0.338542,0.0208333,0.0495663,0.0719791,0.0571682,0.0571682
0.333333,0.0260417,0.0785517,0.0565959,0.0707725,0.0707725
0.354167,0.0208333,0.05091,0.0738122,0.0586583,0.0586583
0.348958,0.0260417,0.0805975,0.0581565,0.0726922,0.0726922
0.369792,0.0208333,0.052131,0.0754674,0.060007,0.060007
0.364583,0.0260417,0.0824492,0.0595768,0.0744368,0.0744368
0.385417,0.0208333,0.0532265,0.0769405,0.0612112,0.0612112
0.380208,0.0260417,0.0841023,0.0608534,0.076002,0.076002
0.401042,0.0208333,0.0541938,0.0782282,0.0622679,0.0622679
0.395833,0.0260417,0.0855528,0.0619832,0.0773841,0.0773841
0.416667,0.0208333,0.0550305,0.0793273,0.0631746,0.0631746
0.411458,0.0260417,0.0867972,0.0629635,0.0785799,0.0785799
0.432292,0.0208333,0.0557347,0.0802351,0.0639291,0.0639291
0.427083,0.0260417,0.0878327,0.0637921,0.0795863,0.0795863
0.447917,0.0208333,0.0563046,0.0809496,0.0645296,0.0645296
0.442708,0.0260417,0.0886565,0.0644668,0.080401,0.080401
0.463542,0.0208333,0.0567389,0.081469,0.0649746,0.0649746
0.458333,0.0260417,0.0892668,0.0649862,0.0810219,0.0810219
0.479167,0.0208333,0.0570366,0.0817922,0.0652631,0.0652631
0.473958,0.0260417,0.0896622,0.0653489,0.0814477,0.0814477
0.494792,0.0208333,0.0571969,0.0819182,0.0653944,0.0653944
0.489583,0.0260417,0.0898415,0.0655542,0.0816773,0.0816773
0.510417,0.0208333,0.0572194,0.0818469,0.0653681,0.0653681
0.505208,0.0260417,0.0898045,0.0656015,0.0817101,0.0817101
0.526042,0.0208333,0.0571041,0.0815784,0.0651844,0.0651844
0.520833,0.0260417,0.0895512,0.0654908,0.0815461,0.0815461
0.541667,0.0208333,0.0568512,0.0811135,0.0648436,0.0648436
0.536458,0.0260417,0.0890821,0.0652223,0.0811856,0.0811856
0.557292,0.0208333,0.0564614,0.0804532,0.0643466,0.0643466
0.552083,0.0260417,0.0883986,0.0647967,0.0806296,0.0806296
0.572917,0.0208333,0.0559356,0.0795992,0.0636946,0.0636946
0.567708,0.0260417,0.0875021,0.0642151,0.0798792,0.0798792
0.588542,0.0208333,0.0552751,0.0785535,0.0628892,0.0628892
0.583333,0.0260417,0.0863948,0.0634789,0.0789365,0.0789365
0.604167,0.0208333,0.0544814,0.0773187,0.0619322,0.0619322
0.598958,0.0260417,0.0850795,0.0625899,0.0778036,0.0778036
0.619792,0.0208333,0.0535565,0.0758977,0.060826,0.060826
0.614583,0.0260417,0.0835592,0.0615502,0.0764832,0.0764832
0.635417,0.0208333,0.0525026,0.0742941,0.0595733,0.0595733
0.630208,0.0260417,0.0818377,0.0603623,0.0749786,0.0749786
0.651042,0.0208333,0.0513222,0.0725118,0.0581771,0.0581771
0.645833,0.0260417,0.0799191,0.0590292,0.0732934,0.0732934
0.666667,0.0208333,0.0500183,0.0705549,0.0566408,0.0566408
0.661458,0.0260417,0.077808,0.0575541,0.0714316,0.0714316
0.682292,0.0208333,0.0485938,0.0684283,0.054968,0.054968
0.677083,0.0260417,0.0755095,0.0559406,0.0693977,0.0693977
0.697917,0.0208333,0.0470524,0.0661371,0.0531627,0.0531627
0.692708,0.0260417,0.0730291,0.0541925,0.0671966,0.0671966
0.713542,0.0208333,0.0453976,0.0636868,0.0512294,0.0512294
0.708333,0.0260417,0.0703729,0.0523141,0.0648337,0.0648337
0.729167,0.0208333,0.0436334,0.0610835,0.0491727,0.0491727
0.723958,0.0260417,0.0675472,0.05031,0.0623145,0.0623145
0.744792,0.0208333,0.0417642,0.0583333,0.0469975,0.0469975
0.739583,0.0260417,0.0645588,0.048185,0.0596453,0.0596453
0.760417,0.0208333,0.0397944,0.0554429,0.0447091,0.0447091
0.755208,0.0260417,0.061415,0.0459442,0.0568323,0.0568323
0.776042,0.0208333,0.0377287,0.0524194,0.042313,0.042313
0.770833,0.0260417,0.0581232,0.0435931,0.0538824,0.0538824
0.791667,0.0208333,0.0355722,0.04927,0.0398149,0.0398149
0.786458,0.0260417,0.0546915,0.0411374,0.0508028,0.0508028
0.807292,0.0208333,0.03333,0.0460023,0.0372209,0.0372209
0.802083,0.0260417,0.0511281,0.0385829,0.0476007,0.0476007
0.822917,0.0208333,0.0310076,0.0426243,0.0345373,0.0345373
0.817708,0.0260417,0.0474416,0.035936,0.044284,0.044284
0.838542,0.0208333,0.0286105,0.0391441,0.0317704,0.0317704
0.833333,0.0260417,0.0436409,0.033203,0.0408605,0.0408605
0.854167,0.0208333,0.0261445,0.0355701,0.0289271,0.0289271
0.848958,0.0260417,0.0397351,0.0303905,0.0373387,0.0373387
0.869792,0.0208333,0.0236156,0.031911,0.026014,0.026014
0.864583,0.0260417,0.0357336,0.0275053,0.0337269,0.0337269
0.885417,0.0208333,0.0210298,0.0281756,0.0230383,0.0230383
0.880208,0.0260417,0.0316462,0.0245543,0.0300338,0.0300338
0.901042,0.0208333,0.0183933,0.024373,0.020007,0.020007
0.895833,0.0260417,0.0274825,0.0215449,0.0262684,0.0262684
0.916667,0.0208333,0.0157127,0.0205124,0.0169276,0.0169276
0.911458,0.0260417,0.0232528,0.0184842,0.0224397,0.0224397
0.932292,0.0208333,0.0129942,0.016603,0.0138074,0.0138074
0.927083,0.0260417,0.0189671,0.0153796,0.0185569,0.0185569
0.947917,0.0208333,0.0102444,0.0126544,0.0106539,0.0106539
0.942708,0.0260417,0.0146358,0.0122386,0.0146295,0.0146295
0.963542,0.0208333,0.00747002,0.00867606,0.00747473,0.00747473
0.958333,0.0260417,0.0102694,0.00906898,0.0106667,0.0106667
0.979167,0.0208333,0.00467768,0.00467768,0.00427757,0.00427757
0.973958,0.0260417,0.00587825,0.00587825,0.00667833,0.00667833
0.994792,0.0208333,0.00187413,0.000668912,0.00107011,0.00107011
0.989583,0.0260417,0.00147308,0.00267419,0.00267384,0.00267384
0.0104167,0.0364583,0.00177797,0.00535645,0.00373936,0.00373936
0.00520833,0.0416667,0.00459602,0.000934936,0.00213563,0.00213563
0.0260417,0.0364583,0.00698155,0.0117669,0.00933965,0.00933965
0.0208333,0.0416667,0.0113857,0.00656001,0.00853682,0.00853682
0.0416667,0.0364583,0.0121684,0.0181482,0.0149174,0.0149174
0.0364583,0.0416667,0.0181482,0.0121684,0.0149174,0.0149174
0.0572917,0.0364583,0.0173261,0.0244849,0.0204593,0.0204593
0.0520833,0.0416667,0.024867,0.0177467,0.0212621,0.0212621
0.0729167,0.0364583,0.0224421,0.030762,0.0259519,0.0259519
0.0677083,0.0416667,0.0315261,0.0232814,0.0275556,0.0275556
0.0885417,0.0364583,0.0275041,0.0369642,0.0313819,0.0313819
0.0833333,0.0416667,0.0381094,0.0287593,0.0337827,0.0337827
0.104167,0.0364583,0.0324999,0.0430767,0.0367363,0.0367363
0.0989583,0.0416667,0.044601,0.0341672,0.0399284,0.0399284
0.119792,0.0364583,0.0374176,0.0490848,0.0420023,0.0420023
0.114583,0.0416667,0.0509852,0.0394921,0.0459779,0.0459779
0.135417,0.0364583,0.0422451,0.0549741,0.047167,0.047167
0.130208,0.0416667,0.0572468,0.0447212,0.0519166,0.0519166
0.151042,0.0364583,0.046971,0.0607303,0.0522182,0.0522182
0.145833,0.0416667,0.0633705,0.049842,0.0577303,0.0577303
0.166667,0.0364583,0.0515838,0.0663398,0.0571435,0.0571435
0.161458,0.0416667,0.0693417,0.0548422,0.0634048,0.0634048
0.182292,0.0364583,0.0560724,0.0717889,0.0619311,0.0619311
0.177083,0.0416667,0.075146,0.0597097,0.0689267,0.0689267
0.197917,0.0364583,0.060426,0.0770646,0.0665696,0.0665696
0.192708,0.0416667,0.0807693,0.0644329,0.0742825,0.0742825
0.213542,0.0364583,0.064634,0.0821542,0.0710477,0.0710477
0.208333,0.0416667,0.0861981,0.0690004,0.0794593,0.0794593
0.229167,0.0364583,0.0686865,0.0870454,0.0753546,0.0753546
0.223958,0.0416667,0.0914194,0.0734012,0.0844447,0.0844447
0.244792,0.0364583,0.0725735,0.0917266,0.07948,0.07948
0.239583,0.0416667,0.0964205,0.0776247,0.0892267,0.0892267
0.260417,0.0364583,0.0762857,0.0961865,0.0834139,0.0834139
0.255208,0.0416667,0.101189,0.0816609,0.0937937,0.0937937
0.276042,0.0364583,0.0798142,0.100414,0.0871469,0.0871469
0.270833,0.0416667,0.105715,0.0855,0.0981348,0.0981348
0.291667,0.0364583,0.0831505,0.1044,0.0906699,0.0906699
0.286458,0.0416667,0.109985,0.0891328,0.102239,0.102239
0.307292,0.0364583,0.0862866,0.108134,0.0939745,0.0939745
0.302083,0.0416667,0.113991,0.0925506,0.106098,0.106098
0.322917,0.0364583,0.0892148,0.111607,0.0970527,0.0970527
0.317708,0.0416667,0.117722,0.0957451,0.109701,0.109701
0.338542,0.0364583,0.0919281,0.114811,0.0998971,0.0998971
0.333333,0.0416667,0.12117,0.0987087,0.113039,0.113039
0.354167,0.0364583,0.0944201,0.117738,0.102501,0.102501
0.348958,0.0416667,0.124326,0.101434,0.116105,0.116105
0.369792,0.0364583,0.0966846,0.120381,0.104858,0.104858
0.364583,0.0416667,0.127182,0.103915,0.118892,0.118892
0.385417,0.0364583,0.0987162,0.122734,0.106962,0.106962
0.380208,0.0416667,0.129732,0.106146,0.121392,0.121392
0.401042,0.0364583,0.10051,0.124792,0.108808,0.108808
0.395833,0.0416667,0.13197,0.10812,0.123599,0.123599
0.416667,0.0364583,0.102062,0.126548,0.110393,0.110393
0.411458,0.0416667,0.13389,0.109834,0.125509,0.125509
0.432292,0.0364583,0.103368,0.128,0.111711,0.111711
0.427083,0.0416667,0.135487,0.111283,0.127116,0.127116
0.447917,0.0364583,0.104425,0.129143,0.11276,0.11276
0.442708,0.0416667,0.136758,0.112465,0.128418,0.128418
0.463542,0.0364583,0.10523,0.129975,0.113538,0.113538
0.458333,0.0416667,0.1377,0.113375,0.12941,0.12941
0.479167,0.0364583,0.105782,0.130494,0.114042,0.114042
0.473958,0.0416667,0.13831,0.114011,0.13009,0.13009
0.494792,0.0364583,0.10608,0.130698,0.114272,0.114272
0.489583,0.0416667,0.138586,0.114374,0.130456,0.130456
0.510417,0.0364583,0.106121,0.130588,0.114226,0.114226
0.505208,0.0416667,0.138529,0.11446,0.130509,0.130509
0.526042,0.0364583,0.105907,0.130163,0.113905,0.113905
0.520833,0.0416667,0.138139,0.114271,0.130247,0.130247
0.541667,0.0364583,0.105438,0.129424,0.113309,0.113309
0.536458,0.0416667,0.137415,0.113806,0.129671,0.129671
0.557292,0.0364583,0.104715,0.128374,0.112441,0.112441
0.552083,0.0416667,0.136361,0.113068,0.128783,0.128783
0.572917,0.0364583,0.10374,0.127014,0.111301,0.111301
0.567708,0.0416667,0.134978,0.112057,0.127584,0.127584
0.588542,0.0364583,0.102515,0.125349,0.109894,0.109894
0.583333,0.0416667,0.13327,0.110776,0.126079,0.126079
0.604167,0.0364583,0.101043,0.123382,0.108222,0.108222
0.598958,0.0416667,0.131241,0.109229,0.124269,0.124269
0.619792,0.0364583,0.0993277,0.121117,0.106289,0.106289
0.614583,0.0416667,0.128896,0.107418,0.12216,0.12216
0.635417,0.0364583,0.0973731,0.118562,0.1041,0.1041
0.630208,0.0416667,0.126241,0.105349,0.119757,0.119757
0.651042,0.0364583,0.095184,0.11572,0.10166,0.10166
0.645833,0.0416667,0.123281,0.103026,0.117065,0.117065
0.666667,0.0364583,0.0927656,0.1126,0.0989754,0.0989754
0.661458,0.0416667,0.120025,0.100455,0.114092,0.114092
0.682292,0.0364583,0.0901238,0.109209,0.0960523,0.0960523
0.677083,0.0416667,0.116479,0.0976427,0.110843,0.110843
0.697917,0.0364583,0.0872649,0.105556,0.0928978,0.0928978
0.692708,0.0416667,0.112653,0.094595,0.107328,0.107328
0.713542,0.0364583,0.0841959,0.101648,0.0895195,0.0895195
0.708333,0.0416667,0.108556,0.0913198,0.103553,0.103553
0.729167,0.0364583,0.0809241,0.0974954,0.0859255,0.0859255
0.723958,0.0416667,0.104197,0.0878248,0.0995298,0.0995298
0.744792,0.0364583,0.0774573,0.0931085,0.0821245,0.0821245
0.739583,0.0416667,0.0995876,0.0841186,0.0952664,0.0952664
0.760417,0.0364583,0.0738041,0.0884976,0.0781257,0.0781257
0.755208,0.0416667,0.094738,0.08021,0.0907735,0.0907735
0.776042,0.0364583,0.069973,0.083674,0.0739387,0.0739387
0.770833,0.0416667,0.0896603,0.0761086,0.0860619,0.0860619
0.791667,0.0364583,0.0659735,0.0786491,0.0695735,0.0695735
0.786458,0.0416667,0.0843667,0.0718241,0.081143,0.081143
0.807292,0.0364583,0.0618151,0.0734352,0.0650407,0.0650407
0.802083,0.0416667,0.07887,0.0673671,0.0760286,0.0760286
0.822917,0.0364583,0.0575079,0.0680449,0.0603513,0.0603513
0.817708,0.0416667,0.0731833,0.0627482,0.070731,0.070731
0.838542,0.0364583,0.0530622,0.0624912,0.0555164,0.0555164
0.833333,0.0416667,0.0673205,0.0579786,0.0652631,0.0652631
0.854167,0.0364583,0.0484887,0.0567874,0.0505478,0.0505478
0.848958,0.0416667,0.0612955,0.0530699,0.0596379,0.0596379
0.869792,0.0364583,0.0437985,0.0509474,0.0454575,0.0454575
0.864583,0.0416667,0.055123,0.0480338,0.0538691,0.0538691
0.885417,0.0364583,0.0390028,0.0449853,0.0402576,0.0402576
0.880208,0.0416667,0.0488178,0.0428825,0.0479705,0.0479705
0.901042,0.0364583,0.0341133,0.0389154,0.0349607,0.0349607
0.895833,0.0416667,0.0423952,0.0376286,0.0419563,0.0419563
0.916667,0.0364583,0.0291416,0.0327524,0.0295796,0.0295796
0.911458,0.0416667,0.0358705,0.0322846,0.035841,0.035841
0.932292,0.0364583,0.0240999,0.0265112,0.0241273,0.0241273
0.927083,0.0416667,0.0292595,0.0268635,0.0296394,0.0296394
0.947917,0.0364583,0.0190002,0.0202069,0.0186168,0.0186168
0.942708,0.0416667,0.0225782,0.0213784,0.0233664,0.0233664
0.963542,0.0364583,0.0138548,0.0138548,0.0130615,0.0130615
0.958333,0.0416667,0.0158426,0.0158426,0.0170371,0.0170371
0.979167,0.0364583,0.00867606,0.00747002,0.00747473,0.00747473
0.973958,0.0416667,0.00906898,0.0102694,0.0106667,0.0106667
0.994792,0.0364583,0.00347657,0.00106816,0.00186993,0.00186993
0.989583,0.0416667,0.00227366,0.00467221,0.0042707,0.0042707
0.0104167,0.0520833,0.00259331,0.00733829,0.00532979,0.00532979
0.00520833,0.0572917,0.00619866,0.00133258,0.00292903,0.00292903
0.0260417,0.0520833,0.0101822,0.0161225,0.013312,0.013312
0.0208333,0.0572917,0.0153602,0.009341,0.0117083,0.0117083
0.0416667,0.0520833,0.0177467,0.024867,0.0212621,0.0212621
0.0364583,0.0572917,0.0244849,0.0173261,0.0204593,0.0204593
0.0572917,0.0520833,0.0252685,0.0335509,0.029161,0.029161
0.0520833,0.0572917,0.0335509,0.0252685,0.029161,0.029161
0.0729167,0.0520833,0.0327297,0.0421532,0.0369897,0.0369897
0.0677083,0.0572917,0.0425362,0.0331494,0.0377925,0.0377925
0.0885417,0.0520833,0.0401121,0.0506532,0.0447292,0.0447292
0.0833333,0.0572917,0.0514192,0.0409496,0.046333,0.046333
0.104167,0.0520833,0.047398,0.0590306,0.052361,0.052361
0.0989583,0.0572917,0.0601785,0.0486505,0.0547618,0.0547618
0.119792,0.0520833,0.0545699,0.0672651,0.0598667,0.0598667
0.114583,0.0572917,0.068793,0.0562335,0.0630587,0.0630587
0.135417,0.0520833,0.0616104,0.0753369,0.0672281,0.0672281
0.130208,0.0572917,0.0772419,0.0636804,0.0712037,0.0712037
0.151042,0.0520833,0.0685026,0.0832268,0.0744276,0.0744276
0.145833,0.0572917,0.0855048,0.0709733,0.0791771,0.0791771
0.166667,0.0520833,0.0752299,0.0909156,0.0814477,0.0814477
0.161458,0.0572917,0.093562,0.0780947,0.0869598,0.0869598
