t,y1,y2,y3,y4
1.3500000000e-05,1.7600000000e-03,1.8746640000e-17,1.6577150789e-17,2.1694892112e-18
1.4000000000e-05,1.7600000000e-03,1.9440960000e-17,1.7112229731e-17,2.3287302694e-18
1.4500000000e-05,1.7600000000e-03,2.0135280000e-17,1.7642219079e-17,2.4930609206e-18
1.5000000000e-05,1.7600000000e-03,2.0829600000e-17,1.8167170978e-17,2.6624290219e-18
1.5500000000e-05,1.7600000000e-03,2.1523920000e-17,1.8687137035e-17,2.8367829646e-18
1.6000000000e-05,1.7600000000e-03,2.2218240000e-17,1.9202168331e-17,3.0160716687e-18
1.6500000000e-05,1.7600000000e-03,2.2912560000e-17,1.9712315422e-17,3.2002445777e-18
1.7000000000e-05,1.7600000000e-03,2.3606880000e-17,2.0217628347e-17,3.3892516528e-18
1.7500000000e-05,1.7600000000e-03,2.4301200000e-17,2.0718156632e-17,3.5830433680e-18
1.8000000000e-05,1.7600000000e-03,2.4995520000e-17,2.1213949295e-17,3.7815707047e-18
1.8500000000e-05,1.7600000000e-03,2.5689840000e-17,2.1705054854e-17,3.9847851464e-18
1.9000000000e-05,1.7600000000e-03,2.6384160000e-17,2.2191521326e-17,4.1926386738e-18
1.9500000000e-05,1.7600000000e-03,2.7078480000e-17,2.2673396241e-17,4.4050837594e-18
2.0000000000e-05,1.7600000000e-03,2.7772800000e-17,2.3150726637e-17,4.6220733626e-18
2.0500000000e-05,1.7600000000e-03,2.8467120000e-17,2.3623559075e-17,4.8435609250e-18
2.1000000000e-05,1.7600000000e-03,2.9161440000e-17,2.4091939635e-17,5.0695003650e-18
2.1500000000e-05,1.7600000000e-03,2.9855760000e-17,2.4555913927e-17,5.2998460729e-18
2.2000000000e-05,1.7600000000e-03,3.0550080000e-17,2.5015527093e-17,5.5345529067e-18
2.2500000000e-05,1.7600000000e-03,3.1244400000e-17,2.5470823813e-17,5.7735761866e-18
2.3000000000e-05,1.7600000000e-03,3.1938720000e-17,2.5921848309e-17,6.0168716906e-18
2.3500000000e-05,1.7600000000e-03,3.2633040000e-17,2.6368644350e-17,6.2643956497e-18
2.4000000000e-05,1.7600000000e-03,3.3327360000e-17,2.6811255257e-17,6.5161047434e-18
2.4500000000e-05,1.7600000000e-03,3.4021680000e-17,2.7249723905e-17,6.7719560952e-18
2.5000000000e-05,1.7600000000e-03,3.4716000000e-17,2.7684092733e-17,7.0319072674e-18
2.5500000000e-05,1.7600000000e-03,3.5410320000e-17,2.8114403743e-17,7.2959162574e-18
2.6000000000e-05,1.7600000000e-03,3.6104640000e-17,2.8540698507e-17,7.5639414929e-18
2.6500000000e-05,1.7600000000e-03,3.6798960000e-17,2.8963018172e-17,7.8359418276e-18
2.7000000000e-05,1.7600000000e-03,3.7493280000e-17,2.9381403464e-17,8.1118765363e-18
2.7500000000e-05,1.7600000000e-03,3.8187600000e-17,2.9795894688e-17,8.3917053116e-18
2.8000000000e-05,1.7600000000e-03,3.8881920000e-17,3.0206531741e-17,8.6753882587e-18
2.8500000000e-05,1.7600000000e-03,3.9576240000e-17,3.0613354108e-17,8.9628858916e-18
2.9000000000e-05,1.7600000000e-03,4.0270560000e-17,3.1016400871e-17,9.2541591288e-18
2.9500000000e-05,1.7600000000e-03,4.0964880000e-17,3.1415710711e-17,9.5491692894e-18
3.0000000000e-05,1.7600000000e-03,4.1659200000e-17,3.1811321912e-17,9.8478780884e-18
3.0500000000e-05,1.7600000000e-03,4.2353520000e-17,3.2203272367e-17,1.0150247633e-17
3.1000000000e-05,1.7600000000e-03,4.3047840000e-17,3.2591599580e-17,1.0456240420e-17
3.1500000000e-05,1.7600000000e-03,4.3742160000e-17,3.2976340672e-17,1.0765819328e-17
3.2000000000e-05,1.7600000000e-03,4.4436480000e-17,3.3357532382e-17,1.1078947618e-17
3.2500000000e-05,1.7600000000e-03,4.5130800000e-17,3.3735211074e-17,1.1395588926e-17
3.3000000000e-05,1.7600000000e-03,4.5825120000e-17,3.4109412739e-17,1.1715707261e-17
3.3500000000e-05,1.7600000000e-03,4.6519440000e-17,3.4480172998e-17,1.2039267002e-17
3.4000000000e-05,1.7600000000e-03,4.7213760000e-17,3.4847527109e-17,1.2366232891e-17
3.4500000000e-05,1.7600000000e-03,4.7908080000e-17,3.5211509968e-17,1.2696570032e-17
3.5000000000e-05,1.7600000000e-03,4.8602400000e-17,3.5572156114e-17,1.3030243886e-17
3.5500000000e-05,1.7600000000e-03,4.9296720000e-17,3.5929499731e-17,1.3367220269e-17
3.6000000000e-05,1.7600000000e-03,4.9991040000e-17,3.6283574653e-17,1.3707465347e-17
3.6500000000e-05,1.7600000000e-03,5.0685360000e-17,3.6634414368e-17,1.4050945632e-17
3.7000000000e-05,1.7600000000e-03,5.1379680000e-17,3.6982052021e-17,1.4397627979e-17
3.7500000000e-05,1.7600000000e-03,5.2074000000e-17,3.7326520417e-17,1.4747479583e-17
3.8000000000e-05,1.7600000000e-03,5.2768320000e-17,3.7667852026e-17,1.5100467974e-17
3.8500000000e-05,1.7600000000e-03,5.3462640000e-17,3.8006078982e-17,1.5456561018e-17
3.9000000000e-05,1.7600000000e-03,5.4156960000e-17,3.8341233095e-17,1.5815726905e-17
3.9500000000e-05,1.7600000000e-03,5.4851280000e-17,3.8673345844e-17,1.6177934156e-17
4.0000000000e-05,1.7600000000e-03,5.5545600000e-17,3.9002448389e-17,1.6543151611e-17
4.0500000000e-05,1.7600000000e-03,5.6239920000e-17,3.9328571569e-17,1.6911348431e-17
4.1000000000e-05,1.7600000000e-03,5.6934240000e-17,3.9651745909e-17,1.7282494091e-17
4.1500000000e-05,1.7600000000e-03,5.7628560000e-17,3.9972001617e-17,1.7656558383e-17
4.2000000000e-05,1.7600000000e-03,5.8322880000e-17,4.0289368597e-17,1.8033511403e-17
4.2500000000e-05,1.7600000000e-03,5.9017200000e-17,4.0603876443e-17,1.8413323557e-17
4.3000000000e-05,1.7600000000e-03,5.9711520000e-17,4.0915554447e-17,1.8795965553e-17
4.3500000000e-05,1.7600000000e-03,6.0405840000e-17,4.1224431600e-17,1.9181408400e-17
4.4000000000e-05,1.7600000000e-03,6.1100160000e-17,4.1530536598e-17,1.9569623402e-17
4.4500000000e-05,1.7600000000e-03,6.1794480000e-17,4.1833897841e-17,1.9960582159e-17
4.5000000000e-05,1.7600000000e-03,6.2488800000e-17,4.2134543439e-17,2.0354256561e-17
4.5500000000e-05,1.7600000000e-03,6.3183120000e-17,4.2432501213e-17,2.0750618786e-17
4.6000000000e-05,1.7600000000e-03,6.3877440000e-17,4.2727798701e-17,2.1149641299e-17
4.6500000000e-05,1.7600000000e-03,6.4571760000e-17,4.3020463157e-17,2.1551296843e-17
4.7000000000e-05,1.7600000000e-03,6.5266080000e-17,4.3310521557e-17,2.1955558443e-17
4.7500000000e-05,1.7600000000e-03,6.5960400000e-17,4.3598000598e-17,2.2362399402e-17
4.8000000000e-05,1.7600000000e-03,6.6654720000e-17,4.3882926708e-17,2.2771793292e-17
4.8500000000e-05,1.7600000000e-03,6.7349040000e-17,4.4165326041e-17,2.3183713959e-17
4.9000000000e-05,1.7600000000e-03,6.8043360000e-17,4.4445224483e-17,2.3598135517e-17
4.9500000000e-05,1.7600000000e-03,6.8737680000e-17,4.4722647657e-17,2.4015032343e-17
5.0000000000e-05,1.7600000000e-03,6.9432000000e-17,4.4997620921e-17,2.4434379079e-17
5.0500000000e-05,1.7600000000e-03,7.0126320000e-17,4.5270169374e-17,2.4856150625e-17
5.1000000000e-05,1.7600000000e-03,7.0820640000e-17,4.5540317860e-17,2.5280322140e-17
5.1500000000e-05,1.7600000000e-03,7.1514960000e-17,4.5808090965e-17,2.5706869035e-17
5.2000000000e-05,1.7600000000e-03,7.2209280000e-17,4.6073513026e-17,2.6135766974e-17
5.2500000000e-05,1.7600000000e-03,7.2903600000e-17,4.6336608128e-17,2.6566991872e-17
5.3000000000e-05,1.7600000000e-03,7.3597920000e-17,4.6597400112e-17,2.7000519888e-17
5.3500000000e-05,1.7600000000e-03,7.4292240000e-17,4.6855912572e-17,2.7436327428e-17
5.4000000000e-05,1.7600000000e-03,7.4986560000e-17,4.7112168864e-17,2.7874391136e-17
5.4500000000e-05,1.7600000000e-03,7.5680880000e-17,4.7366192100e-17,2.8314687900e-17
5.5000000000e-05,1.7600000000e-03,7.6375200000e-17,4.7618005159e-17,2.8757194841e-17
5.5500000000e-05,1.7600000000e-03,7.7069520000e-17,4.7867630684e-17,2.9201889316e-17
5.6000000000e-05,1.7600000000e-03,7.7763840000e-17,4.8115091087e-17,2.9648748913e-17
5.6500000000e-05,1.7600000000e-03,7.8458160000e-17,4.8360408548e-17,3.0097751452e-17
5.7000000000e-05,1.7600000000e-03,7.9152480000e-17,4.8603605023e-17,3.0548874977e-17
5.7500000000e-05,1.7600000000e-03,7.9846800000e-17,4.8844702241e-17,3.1002097759e-17
5.8000000000e-05,1.7600000000e-03,8.0541120000e-17,4.9083721708e-17,3.1457398292e-17
5.8500000000e-05,1.7600000000e-03,8.1235440000e-17,4.9320684712e-17,3.1914755288e-17
5.9000000000e-05,1.7600000000e-03,8.1929760000e-17,4.9555612321e-17,3.2374147679e-17
5.9500000000e-05,1.7600000000e-03,8.2624080000e-17,4.9788525387e-17,3.2835554613e-17
6.0000000000e-05,1.7600000000e-03,8.3318400000e-17,5.0019444550e-17,3.3298955450e-17
6.0500000000e-05,1.7600000000e-03,8.4012720000e-17,5.0248390236e-17,3.3764329764e-17
6.1000000000e-05,1.7600000000e-03,8.4707040000e-17,5.0475382665e-17,3.4231657335e-17
6.1500000000e-05,1.7600000000e-03,8.5401360000e-17,5.0700441847e-17,3.4700918153e-17
6.2000000000e-05,1.7600000000e-03,8.6095680000e-17,5.0923587589e-17,3.5172092411e-17
6.2500000000e-05,1.7600000000e-03,8.6790000000e-17,5.1144839493e-17,3.5645160507e-17
6.3000000000e-05,1.7600000000e-03,8.7484320000e-17,5.1364216963e-17,3.6120103037e-17
6.3500000000e-05,1.7600000000e-03,8.8178640000e-17,5.1581739201e-17,3.6596900799e-17
6.4000000000e-05,1.7600000000e-03,8.8872960000e-17,5.1797425214e-17,3.7075534786e-17
6.4500000000e-05,1.7600000000e-03,8.9567280000e-17,5.2011293815e-17,3.7555986185e-17
6.5000000000e-05,1.7600000000e-03,9.0261600000e-17,5.2223363623e-17,3.8038236377e-17
6.5500000000e-05,1.7600000000e-03,9.0955920000e-17,5.2433653067e-17,3.8522266933e-17
6.6000000000e-05,1.7600000000e-03,9.1650240000e-17,5.2642180386e-17,3.9008059614e-17
6.6500000000e-05,1.7600000000e-03,9.2344560000e-17,5.2848963634e-17,3.9495596366e-17
6.7000000000e-05,1.7600000000e-03,9.3038880000e-17,5.3054020678e-17,3.9984859322e-17
6.7500000000e-05,1.7600000000e-03,9.3733200000e-17,5.3257369203e-17,4.0475830797e-17
6.8000000000e-05,1.7600000000e-03,9.4427520000e-17,5.3459026713e-17,4.0968493286e-17
6.8500000000e-05,1.7600000000e-03,9.5121840000e-17,5.3659010534e-17,4.1462829466e-17
6.9000000000e-05,1.7600000000e-03,9.5816160000e-17,5.3857337810e-17,4.1958822190e-17
6.9500000000e-05,1.7600000000e-03,9.6510480000e-17,5.4054025515e-17,4.2456454485e-17
7.0000000000e-05,1.7600000000e-03,9.7204800000e-17,5.4249090445e-17,4.2955709555e-17
7.0500000000e-05,1.7600000000e-03,9.7899120000e-17,5.4442549225e-17,4.3456570775e-17
7.1000000000e-05,1.7600000000e-03,9.8593440000e-17,5.4634418311e-17,4.3959021689e-17
7.1500000000e-05,1.7600000000e-03,9.9287760000e-17,5.4824713989e-17,4.4463046011e-17
7.2000000000e-05,1.7600000000e-03,9.9982080000e-17,5.5013452379e-17,4.4968627621e-17
7.2500000000e-05,1.7600000000e-03,1.0067640000e-16,5.5200649434e-17,4.5475750566e-17
7.3000000000e-05,1.7600000000e-03,1.0137072000e-16,5.5386320947e-17,4.5984399053e-17
7.3500000000e-05,1.7600000000e-03,1.0206504000e-16,5.5570482545e-17,4.6494557454e-17
7.4000000000e-05,1.7600000000e-03,1.0275936000e-16,5.5753149699e-17,4.7006210301e-17
7.4500000000e-05,1.7600000000e-03,1.0345368000e-16,5.5934337719e-17,4.7519342281e-17
7.5000000000e-05,1.7600000000e-03,1.0414800000e-16,5.6114061758e-17,4.8033938242e-17
7.5500000000e-05,1.7600000000e-03,1.0484232000e-16,5.6292336816e-17,4.8549983184e-17
7.6000000000e-05,1.7600000000e-03,1.0553664000e-16,5.6469177736e-17,4.9067462264e-17
7.6500000000e-05,1.7600000000e-03,1.0623096000e-16,5.6644599211e-17,4.9586360788e-17
7.7000000000e-05,1.7600000000e-03,1.0692528000e-16,5.6818615785e-17,5.0106664215e-17
7.7500000000e-05,1.7600000000e-03,1.0761960000e-16,5.6991241849e-17,5.0628358150e-17
7.8000000000e-05,1.7600000000e-03,1.0831392000e-16,5.7162491651e-17,5.1151428349e-17
7.8500000000e-05,1.7600000000e-03,1.0900824000e-16,5.7332379288e-17,5.1675860711e-17
7.9000000000e-05,1.7600000000e-03,1.0970256000e-16,5.7500918718e-17,5.2201641282e-17
7.9500000000e-05,1.7600000000e-03,1.1039688000e-16,5.7668123752e-17,5.2728756247e-17
8.0000000000e-05,1.7600000000e-03,1.1109120000e-16,5.7834008062e-17,5.3257191938e-17
8.0500000000e-05,1.7600000000e-03,1.1178552000e-16,5.7998585177e-17,5.3786934823e-17
8.1000000000e-05,1.7600000000e-03,1.1247984000e-16,5.8161868491e-17,5.4317971509e-17
8.1500000000e-05,1.7600000000e-03,1.1317416000e-16,5.8323871258e-17,5.4850288742e-17
8.2000000000e-05,1.7600000000e-03,1.1386848000e-16,5.8484606597e-17,5.5383873403e-17
8.2500000000e-05,1.7600000000e-03,1.1456280000e-16,5.8644087494e-17,5.5918712506e-17
8.3000000000e-05,1.7600000000e-03,1.1525712000e-16,5.8802326799e-17,5.6454793201e-17
8.3500000000e-05,1.7600000000e-03,1.1595144000e-16,5.8959337234e-17,5.6992102766e-17
8.4000000000e-05,1.7600000000e-03,1.1664576000e-16,5.9115131388e-17,5.7530628612e-17
8.4500000000e-05,1.7600000000e-03,1.1734008000e-16,5.9269721721e-17,5.8070358279e-17
8.5000000000e-05,1.7600000000e-03,1.1803440000e-16,5.9423120567e-17,5.8611279433e-17
8.5500000000e-05,1.7600000000e-03,1.1872872000e-16,5.9575340133e-17,5.9153379867e-17
8.6000000000e-05,1.7600000000e-03,1.1942304000e-16,5.9726392500e-17,5.9696647500e-17
8.6500000000e-05,1.7600000000e-03,1.2011736000e-16,5.9876289626e-17,6.0241070373e-17
8.7000000000e-05,1.7600000000e-03,1.2081168000e-16,6.0025043348e-17,6.0786636652e-17
8.7500000000e-05,1.7600000000e-03,1.2150600000e-16,6.0172665378e-17,6.1333334622e-17
8.8000000000e-05,1.7600000000e-03,1.2220032000e-16,6.0319167311e-17,6.1881152689e-17
8.8500000000e-05,1.7600000000e-03,1.2289464000e-16,6.0464560623e-17,6.2430079377e-17
8.9000000000e-05,1.7600000000e-03,1.2358896000e-16,6.0608856671e-17,6.2980103329e-17
8.9500000000e-05,1.7600000000e-03,1.2428328000e-16,6.0752066696e-17,6.3531213303e-17
9.0000000000e-05,1.7600000000e-03,1.2497760000e-16,6.0894201826e-17,6.4083398173e-17
9.0500000000e-05,1.7600000000e-03,1.2567192000e-16,6.1035273073e-17,6.4636646927e-17
9.1000000000e-05,1.7600000000e-03,1.2636624000e-16,6.1175291335e-17,6.5190948665e-17
9.1500000000e-05,1.7600000000e-03,1.2706056000e-16,6.1314267401e-17,6.5746292599e-17
9.2000000000e-05,1.7600000000e-03,1.2775488000e-16,6.1452211948e-17,6.6302668052e-17
9.2500000000e-05,1.7600000000e-03,1.2844920000e-16,6.1589135543e-17,6.6860064456e-17
9.3000000000e-05,1.7600000000e-03,1.2914352000e-16,6.1725048648e-17,6.7418471352e-17
9.3500000000e-05,1.7600000000e-03,1.2983784000e-16,6.1859961613e-17,6.7977878387e-17
9.4000000000e-05,1.7600000000e-03,1.3053216000e-16,6.1993884686e-17,6.8538275314e-17
9.4500000000e-05,1.7600000000e-03,1.3122648000e-16,6.2126828008e-17,6.9099651992e-17
9.5000000000e-05,1.7600000000e-03,1.3192080000e-16,6.2258801616e-17,6.9661998384e-17
9.5500000000e-05,1.7600000000e-03,1.3261512000e-16,6.2389815445e-17,7.0225304554e-17
9.6000000000e-05,1.7600000000e-03,1.3330944000e-16,6.2519879329e-17,7.0789560671e-17
9.6500000000e-05,1.7600000000e-03,1.3400376000e-16,6.2649002999e-17,7.1354757001e-17
9.7000000000e-05,1.7600000000e-03,1.3469808000e-16,6.2777196088e-17,7.1920883912e-17
9.7500000000e-05,1.7600000000e-03,1.3539240000e-16,6.2904468129e-17,7.2487931871e-17
9.8000000000e-05,1.7600000000e-03,1.3608672000e-16,6.3030828559e-17,7.3055891441e-17
9.8500000000e-05,1.7600000000e-03,1.3678104000e-16,6.3156286717e-17,7.3624753283e-17
9.9000000000e-05,1.7600000000e-03,1.3747536000e-16,6.3280851847e-17,7.4194508152e-17
9.9500000000e-05,1.7600000000e-03,1.3816968000e-16,6.3404533098e-17,7.4765146901e-17
1.0000000000e-04,1.7600000000e-03,1.3886400000e-16,6.3527339526e-17,7.5336660474e-17
1.0050000000e-04,1.7600000000e-03,1.3955832000e-16,6.3649280093e-17,7.5909039907e-17
1.0100000000e-04,1.7600000000e-03,1.4025264000e-16,6.3770363669e-17,7.6482276331e-17
1.0150000000e-04,1.7600000000e-03,1.4094696000e-16,6.3890599035e-17,7.7056360965e-17
1.0200000000e-04,1.7600000000e-03,1.4164128000e-16,6.4009994880e-17,7.7631285120e-17
1.0250000000e-04,1.7600000000e-03,1.4233560000e-16,6.4128559806e-17,7.8207040194e-17
1.0300000000e-04,1.7600000000e-03,1.4302992000e-16,6.4246302324e-17,7.8783617675e-17
1.0350000000e-04,1.7600000000e-03,1.4372424000e-16,6.4363230862e-17,7.9361009138e-17
1.0400000000e-04,1.7600000000e-03,1.4441856000e-16,6.4479353757e-17,7.9939206242e-17
1.0450000000e-04,1.7600000000e-03,1.4511288000e-16,6.4594679264e-17,8.0518200735e-17
1.0500000000e-04,1.7600000000e-03,1.4580720000e-16,6.4709215553e-17,8.1097984447e-17
1.0550000000e-04,1.7600000000e-03,1.4650152000e-16,6.4822970707e-17,8.1678549292e-17
1.0600000000e-04,1.7600000000e-03,1.4719584000e-16,6.4935952731e-17,8.2259887268e-17
1.0650000000e-04,1.7600000000e-03,1.4789016000e-16,6.5048169545e-17,8.2841990455e-17
1.0700000000e-04,1.7600000000e-03,1.4858448000e-16,6.5159628988e-17,8.3424851011e-17
1.0750000000e-04,1.7600000000e-03,1.4927880000e-16,6.5270338821e-17,8.4008461179e-17
1.0800000000e-04,1.7600000000e-03,1.4997312000e-16,6.5380306721e-17,8.4592813278e-17
1.0850000000e-04,1.7600000000e-03,1.5066744000e-16,6.5489540292e-17,8.5177899708e-17
1.0900000000e-04,1.7600000000e-03,1.5136176000e-16,6.5598047055e-17,8.5763712944e-17
1.0950000000e-04,1.7600000000e-03,1.5205608000e-16,6.5705834457e-17,8.6350245542e-17
1.1000000000e-04,1.7600000000e-03,1.5275040000e-16,6.5812909869e-17,8.6937490131e-17
1.1050000000e-04,1.7600000000e-03,1.5344472000e-16,6.5919280583e-17,8.7525439417e-17
1.1100000000e-04,1.7600000000e-03,1.5413904000e-16,6.6024953820e-17,8.8114086179e-17
1.1150000000e-04,1.7600000000e-03,1.5483336000e-16,6.6129936726e-17,8.8703423274e-17
1.1200000000e-04,1.7600000000e-03,1.5552768000e-16,6.6234236373e-17,8.9293443627e-17
1.1250000000e-04,1.7600000000e-03,1.5622200000e-16,6.6337859760e-17,8.9884140239e-17
1.1300000000e-04,1.7600000000e-03,1.5691632000e-16,6.6440813817e-17,9.0475506183e-17
1.1350000000e-04,1.7600000000e-03,1.5761064000e-16,6.6543105400e-17,9.1067534599e-17
1.1400000000e-04,1.7600000000e-03,1.5830496000e-16,6.6644741297e-17,9.1660218703e-17
1.1450000000e-04,1.7600000000e-03,1.5899928000e-16,6.6745728225e-17,9.2253551775e-17
1.1500000000e-04,1.7600000000e-03,1.5969360000e-16,6.6846072832e-17,9.2847527167e-17
1.1550000000e-04,1.7600000000e-03,1.6038792000e-16,6.6945781700e-17,9.3442138299e-17
1.1600000000e-04,1.7600000000e-03,1.6108224000e-16,6.7044861341e-17,9.4037378658e-17
1.1650000000e-04,1.7600000000e-03,1.6177656000e-16,6.7143318202e-17,9.4633241797e-17
1.1700000000e-04,1.7600000000e-03,1.6247088000e-16,6.7241158664e-17,9.5229721336e-17
1.1750000000e-04,1.7600000000e-03,1.6316520000e-16,6.7338389041e-17,9.5826810959e-17
1.1800000000e-04,1.7600000000e-03,1.6385952000e-16,6.7435015583e-17,9.6424504417e-17
1.1850000000e-04,1.7600000000e-03,1.6455384000e-16,6.7531044477e-17,9.7022795522e-17
1.1900000000e-04,1.7600000000e-03,1.6524816000e-16,6.7626481846e-17,9.7621678153e-17
1.1950000000e-04,1.7600000000e-03,1.6594248000e-16,6.7721333750e-17,9.8221146250e-17
1.2000000000e-04,1.7600000000e-03,1.6663680000e-16,6.7815606187e-17,9.8821193813e-17
1.2050000000e-04,1.7600000000e-03,1.6733112000e-16,6.7909305093e-17,9.9421814906e-17
1.2100000000e-04,1.7600000000e-03,1.6802544000e-16,6.8002436345e-17,1.0002300365e-16
1.2150000000e-04,1.7600000000e-03,1.6871976000e-16,6.8095005759e-17,1.0062475424e-16
1.2200000000e-04,1.7600000000e-03,1.6941408000e-16,6.8187019089e-17,1.0122706091e-16
1.2250000000e-04,1.7600000000e-03,1.7010840000e-16,6.8278482034e-17,1.0182991797e-16
1.2300000000e-04,1.7600000000e-03,1.7080272000e-16,6.8369400231e-17,1.0243331977e-16
1.2350000000e-04,1.7600000000e-03,1.7149704000e-16,6.8459779263e-17,1.0303726074e-16
1.2400000000e-04,1.7600000000e-03,1.7219136000e-16,6.8549624652e-17,1.0364173535e-16
1.2450000000e-04,1.7600000000e-03,1.7288568000e-16,6.8638941866e-17,1.0424673813e-16
1.2500000000e-04,1.7600000000e-03,1.7358000000e-16,6.8727736315e-17,1.0485226368e-16
1.2550000000e-04,1.7600000000e-03,1.7427432000e-16,6.8816013357e-17,1.0545830664e-16
1.2600000000e-04,1.7600000000e-03,1.7496864000e-16,6.8903778291e-17,1.0606486171e-16
1.2650000000e-04,1.7600000000e-03,1.7566296000e-16,6.8991036364e-17,1.0667192364e-16
1.2700000000e-04,1.7600000000e-03,1.7635728000e-16,6.9077792769e-17,1.0727948723e-16
1.2750000000e-04,1.7600000000e-03,1.7705160000e-16,6.9164052645e-17,1.0788754735e-16
1.2800000000e-04,1.7600000000e-03,1.7774592000e-16,6.9249821079e-17,1.0849609892e-16
1.2850000000e-04,1.7600000000e-03,1.7844024000e-16,6.9335103107e-17,1.0910513689e-16
1.2900000000e-04,1.7600000000e-03,1.7913456000e-16,6.9419903712e-17,1.0971465629e-16
1.2950000000e-04,1.7600000000e-03,1.7982888000e-16,6.9504227824e-17,1.1032465217e-16
1.3000000000e-04,1.7600000000e-03,1.8052320000e-16,6.9588080328e-17,1.1093511967e-16
1.3050000000e-04,1.7600000000e-03,1.8121752000e-16,6.9671466053e-17,1.1154605395e-16
1.3100000000e-04,1.7600000000e-03,1.8191184000e-16,6.9754389782e-17,1.1215745022e-16
1.3150000000e-04,1.7600000000e-03,1.8260616000e-16,6.9836856248e-17,1.1276930375e-16
1.3200000000e-04,1.7600000000e-03,1.8330048000e-16,6.9918870136e-17,1.1338160986e-16
1.3250000000e-04,1.7600000000e-03,1.8399480000e-16,7.0000436083e-17,1.1399436392e-16
1.3300000000e-04,1.7600000000e-03,1.8468912000e-16,7.0081558677e-17,1.1460756132e-16
1.3350000000e-04,1.7600000000e-03,1.8538344000e-16,7.0162242461e-17,1.1522119754e-16
1.3400000000e-04,1.7600000000e-03,1.8607776000e-16,7.0242491931e-17,1.1583526807e-16
1.3450000000e-04,1.7600000000e-03,1.8677208000e-16,7.0322311535e-17,1.1644976846e-16
1.3500000000e-04,1.7600000000e-03,1.8746640000e-16,7.0401705679e-17,1.1706469432e-16
1.3550000000e-04,1.7600000000e-03,1.8816072000e-16,7.0480678720e-17,1.1768004128e-16
1.3600000000e-04,1.7600000000e-03,1.8885504000e-16,7.0559234973e-17,1.1829580503e-16
1.3650000000e-04,1.7600000000e-03,1.8954936000e-16,7.0637378709e-17,1.1891198129e-16
1.3700000000e-04,1.7600000000e-03,1.9024368000e-16,7.0715114152e-17,1.1952856585e-16
1.3750000000e-04,1.7600000000e-03,1.9093800000e-16,7.0792445487e-17,1.2014555451e-16
1.3800000000e-04,1.7600000000e-03,1.9163232000e-16,7.0869376853e-17,1.2076294315e-16
1.3850000000e-04,1.7600000000e-03,1.9232664000e-16,7.0945912348e-17,1.2138072765e-16
1.3900000000e-04,1.7600000000e-03,1.9302096000e-16,7.1022056028e-17,1.2199890397e-16
